course_id,title,url,is_paid,price,subscribers,reviews,lectures,level,duration,published_timestamp,subject,provider,rating,description,skills,text_for_tfidf
1070968,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,True,200,2147,23,51,All Levels,1.5,2017-01-18T20:58:58Z,Business Finance,Udemy,,,Business Finance,ultimate investment banking course business finance
1113822,Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,True,75,2792,923,274,All Levels,39.0,2017-03-09T16:34:20Z,Business Finance,Udemy,,,Business Finance,complete gst course & certification - grow your ca practice business finance
1006314,Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,True,45,2174,74,51,Intermediate Level,2.5,2016-12-19T19:26:30Z,Business Finance,Udemy,,,Business Finance,financial modeling for business analysts and consultants business finance
1210588,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,True,95,2451,11,36,All Levels,3.0,2017-05-30T20:07:24Z,Business Finance,Udemy,,,Business Finance,beginner to pro - financial analysis in excel 2017 business finance
1011058,How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,True,200,1276,45,26,Intermediate Level,2.0,2016-12-13T14:57:18Z,Business Finance,Udemy,,,Business Finance,how to maximize your profits trading options business finance
192870,Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,True,150,9221,138,25,All Levels,3.0,2014-05-02T15:13:30Z,Business Finance,Udemy,,,Business Finance,trading penny stocks: a guide for all levels in 2017 business finance
739964,Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,True,65,1540,178,26,Beginner Level,1.0,2016-02-21T18:23:12Z,Business Finance,Udemy,,,Business Finance,investing and trading for beginners: mastering price charts business finance
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,True,95,2917,148,23,All Levels,2.5,2015-01-30T22:13:03Z,Business Finance,Udemy,,,Business Finance,"trading stock chart patterns for immediate, explosive gains business finance"
476268,Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,True,195,5172,34,38,Expert Level,2.5,2015-05-28T00:14:03Z,Business Finance,Udemy,,,Business Finance,options trading 3 : advanced stock profit and success method business finance
1167710,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,True,200,827,14,15,All Levels,1.0,2017-04-18T18:13:32Z,Business Finance,Udemy,,,Business Finance,the only investment strategy you need for your retirement business finance
592338,Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,True,200,4284,93,76,All Levels,5.0,2015-09-11T16:47:02Z,Business Finance,Udemy,,,Business Finance,forex trading secrets of the pros with amazon's aws business finance
975046,Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,True,200,1380,42,17,All Levels,1.0,2016-10-18T22:52:31Z,Business Finance,Udemy,,,Business Finance,trading options with money flow business finance
742602,Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,True,30,3607,21,19,All Levels,1.5,2016-02-03T18:04:01Z,Business Finance,Udemy,,,Business Finance,financial management risk and return for securities business finance
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.udemy.com/the-complete-trading-course/,True,195,4061,52,16,All Levels,2.0,2016-03-16T15:40:19Z,Business Finance,Udemy,,,Business Finance,forex trading course: work smarter not harder proven results business finance
1196544,Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,True,200,294,19,42,All Levels,7.0,2017-04-28T16:41:44Z,Business Finance,Udemy,,,Business Finance,python algo trading: sentiment trading with news business finance
504036,Short Selling: Learn To Sell Stocks Before The Fall,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,True,75,2276,106,19,Intermediate Level,1.5,2015-06-22T21:18:35Z,Business Finance,Udemy,,,Business Finance,short selling: learn to sell stocks before the fall business finance
719698,Basic Technical Analysis: Learn the structure of the market,https://www.udemy.com/learn-basic-technical-analysis/,True,20,4919,79,16,Beginner Level,1.5,2016-01-08T17:21:26Z,Business Finance,Udemy,,,Business Finance,basic technical analysis: learn the structure of the market business finance
564966,The Complete Chart Pattern Trading Course: A Proven Approach,https://www.udemy.com/make-money-trading-stocks-from-home/,True,200,2666,115,52,All Levels,4.0,2015-08-10T21:07:35Z,Business Finance,Udemy,,,Business Finance,the complete chart pattern trading course: a proven approach business finance
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,https://www.udemy.com/7-deadly-mistakes-of-investing/,True,50,5354,24,23,All Levels,1.5,2015-09-21T18:10:34Z,Business Finance,Udemy,,,Business Finance,7 deadly mistakes of investing that will slash your profits! business finance
58977,Financial Statements Made Easy,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,True,95,8095,249,12,Beginner Level,0.5833333333333334,2013-06-09T00:21:26Z,Business Finance,Udemy,,,Business Finance,financial statements made easy business finance
1242604,Winning Forex Trading with Live Forex Trading Examples,https://www.udemy.com/forexmacross/,True,200,809,3,25,All Levels,2.0,2017-06-06T02:54:04Z,Business Finance,Udemy,,,Business Finance,winning forex trading with live forex trading examples business finance
798740,Forex Traders - Create Your First Trading Robot. No Coding!,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,True,200,2295,84,39,All Levels,4.0,2016-05-02T19:26:48Z,Business Finance,Udemy,,,Business Finance,forex traders - create your first trading robot. no coding! business finance
506568,Create A Business From Home Trading Stocks Today In 2017,https://www.udemy.com/work-from-home-buying-penny-stocks/,True,75,10149,83,16,All Levels,2.0,2015-05-26T17:25:46Z,Business Finance,Udemy,,,Business Finance,create a business from home trading stocks today in 2017 business finance
1020760,Introduction to Accounting : Mastering Financial Statements,https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/,True,50,1916,38,23,Beginner Level,1.0,2016-12-05T22:14:17Z,Business Finance,Udemy,,,Business Finance,introduction to accounting : mastering financial statements business finance
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,https://www.udemy.com/ethereum/,True,45,2507,333,40,All Levels,2.0,2016-05-30T18:53:46Z,Business Finance,Udemy,,,Business Finance,the complete ethereum course: get .01 ether in your wallet business finance
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,True,150,5786,518,50,All Levels,5.0,2015-01-31T15:34:05Z,Business Finance,Udemy,,,Business Finance,beginner to pro in powerpoint: complete powerpoint training business finance
353044,Investing 101: The Complete Online Investing Course,https://www.udemy.com/online-investing-guide/,True,200,5334,373,42,All Levels,4.5,2014-11-28T17:49:03Z,Business Finance,Udemy,,,Business Finance,investing 101: the complete online investing course business finance
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/,True,175,4005,237,25,Intermediate Level,2.0,2015-04-12T20:13:47Z,Business Finance,Udemy,,,Business Finance,create your own hedge fund: trade stocks like a fund manager business finance
831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),https://www.udemy.com/learn-mql5/,True,150,2877,103,81,All Levels,4.5,2016-04-26T22:41:46Z,Business Finance,Udemy,,,Business Finance,learn mql5: build an 8-currency hedging robot (metatrader 5) business finance
